Accession  no,Sex,Nutrition,Slaughter Group,Date of Birth,Slaughter Date,Days at Death,Sca_GLP,Sca_BG,Sca_SLC,Hum_GL,Hum_GLC,Hum_SD,Hum_Bd,Hum_BT,Hum_BFT,Hum_HT,Hum_HTC,Rad_GL,Rad_Bp,Rad_BFp,Rad_SDmm,Rad_Bd,Mtc_GL,Mtc_Bp,Mtc_BFp,Mtc_SD,Mtc_BFd,Mtc_WCM,Mtc_WCL,Mtc_Dem,Mtc_Del,Mtc_Dvm,Mtc_Dvl,Mtc_BdFus,Pel_SDpu,Pel_SDmmpu,Pel_MRDA,Fem_GL,Fem_GLC,Fem_TC,Fem_SD,Fem_Bd,Tib_GL,Tib_Bp,Tib_SDml,Tib_SDmin,Tib_Bd,Tib_Dd,Navcu_GB,Mtt_GL,Mtt_Bp,Mtt_BFp,Mtt_SD,Mtt_BFd,Mtt_WCM,Mtt_WCL,Mtt_Dem,Mtt_Del,Mtt_Dvm,Mtt_Dvl,Mtt_BdFus,Ast_GLl,Ast_Bd,Ast_Dl,Cal_GL,Cal_BS,Cal_C,Cal_C&D,Cal_GDde,Sca_coracoid_fus,Hum_prox_fus,Hum_dist_fus,Rad_prox_fus,Rad_dist_fus,Mtc_dist_fus,Pel_acetabulum_fus,Fem_caput_fus,Fem_gt_fus,Fem_dist_fus,Tib_prox_fus,Tib_dist_fus,Mtt_dist_fus,Cal_prox_fus,Pph_fore_int_fus,Pph_fore_ext_fus,Pph_dist_int_fus,Pph_dist_ext_fus,Mph_fore_int_fus,Mph_fore_ext_fus,Mph_dist_int_fus,Mph_dist_ext_fus
3511,Male,High,7,5/3/1996,15/11/1999,1291,36.79,22.17,22.27,145.5,129.5,16.74,33.07,30.99,30.92,20.08,15.47,154,34.76,31.25,19.73,32.72,115,24.69,23.58,16.5,27.73,12.7,12.5,10.09,9.64,16.12,15.72,28.14,9.96,11.33,8.83,174.5,173.5,22.3,18.62,40.6,202.5,44.47,16.81,13.47,26.95,22.18,24.4,126,21.65,21.58,13.96,26.51,11.9,11.2,9.11,9,15.92,15.5,26.12,27.84,18.89,15.66,54.28,17.02,13.81,22.28,22.05,fu,fo,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,na,na,na,na,na,na,na,na
3512,Female,High,5,5/4/1997,23/11/1999,933,31.79,18.09,19.03,124,111.5,14.43,28.97,26.38,25.87,18,13.75,131,29.78,26.36,17.37,28.08,109.5,21.79,20.64,13.31,23.08,10.75,10.1,10.28,9.57,15.21,14.61,23.04,5.82,7.87,5.31,150,147.5,18.37,16.76,35.16,177.5,38.81,15.47,10.98,24.81,19.56,20.99,119,19.19,18.69,11.33,22.37,10.25,9.15,9.73,8.89,15.4,14.25,22.02,24.9,17.16,13.9,49.68,14.84,12.33,19.87,20.12,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
3513,Castrate,High,3,4/30/1998,17/11/1999,566,32.47,21.54,19.21,135,120,15.01,31.58,29.76,29.47,18.54,14.99,150.5,32.31,29.96,18.35,30.76,123.5,25.73,24.5,14.77,26.25,12.4,12,11.43,10.74,17.1,16.36,28.36,6.19,7.76,6.27,165.5,164,20.44,17.02,40.23,198.5,42.35,15.32,11.96,27.03,22.1,25.2,132,21.85,21.42,12.29,25.11,11.8,10.7,10.54,9.7,16.94,15.82,25.56,30.03,20.38,16.79,58.76,17.74,14.16,24.2,24.26,fu,u,fu,fu,u,u,fu,u,u,u,u,fo,u,fg,fu,fu,fu,fu,fu,fu,fu,fu
3514,Male,High,7,5/3/1996,15/11/1999,1291,34.2,21.7,22.64,134.5,117.5,16.61,32.06,30.47,29.84,20.31,15.37,141,35.04,30.25,19.86,32.72,111,25.48,24.17,15.49,26.68,12.45,12.2,11,10.5,16.4,16.04,27.49,9.16,10.51,7.55,164,160,20.45,19.04,41.53,186,46.31,16.97,13.2,28.37,21.75,24.66,120.5,22.35,21.91,13.1,25.74,12.05,11.1,9.96,9.65,16.34,15.45,25.72,29.36,19.2,16.07,55.65,17.36,13.33,22.95,22.98,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,na,na,na,na,na,na,na,na
3515,Male,High,3,5/12/1998,22/11/1999,559,34.97,21.9,21.67,141,126,16.28,31.81,29.16,28.83,20.29,15.37,150,31.44,27.84,19.11,31.75,117.5,24.82,23.85,15.09,26.77,12.45,12.15,11.09,10.6,16.82,16.38,28.86,9.45,11.69,8.73,170,170.5,21.76,18.68,39.88,199,42.49,15.92,13.27,27.29,22.18,24.78,127,21.88,21.74,12.67,25.4,11.75,10.85,9.98,9.61,16.71,15.62,26.34,30.25,20.3,16.78,57.74,16.71,13.69,24.2,23.9,fu,u,fu,fu,u,fo,fu,u,u,u,fg,fo,fo,u,fo,fo,fo,fo,fu,fu,fu,fu
3516,Female,Low,1,11/05/99,24/11/1999,197,28.54,17.46,14.93,113.5,104,11.11,26.39,24.78,24.02,15.95,13.78,118,26.37,24.51,13.44,26.15,102.5,21.42,21.03,10.84,21.82,10.1,9.9,9.37,8.52,14.27,13.68,23.37,5.11,7.41,5.12,135,136,19,12.67,33.29,159,36.11,11.63,9.72,23.16,18.61,21,109,18.38,18.36,9.22,21.16,9.9,8.8,8.62,7.67,14.36,13.07,21.46,27.08,16.93,14.24,48.64,13.79,12.02,20.26,21.19,fu,u,fo,fu,u,u,fo,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u
3517,Castrate,Low,7,5/6/1996,15/11/1999,1288,35.15,20.72,20.23,135,120,14.74,31.69,29.06,28.49,19.17,15.21,142.5,32.11,28.85,18.31,30.44,117,23.8,22.86,13.74,25.4,11.6,11.2,10.65,9.69,15.65,15.06,24.69,7.57,10.01,7.75,165.5,163,20.58,16.76,39.6,191,43.44,15.94,11.3,26.41,20.23,23.45,124,20.49,20.27,11.93,23.95,11.25,10.5,9.48,8.8,15.65,14.71,23.43,28.4,18.97,15.18,55.43,15.69,13.04,22.24,23.11,fu,fo,fu,fu,fo,fu,fu,fo,fu,fo,fo,fu,fu,fu,na,na,na,na,na,na,na,na
3518,Castrate,High,7,4/30/1996,15/11/1999,1294,34.9,21.34,21.28,146.5,130.5,16.38,31.73,29.45,29.29,19.53,14.92,161,32.52,29.4,18.32,30.7,127.5,24.23,23.25,15.33,26.11,12.1,11.85,11.42,10.86,16.33,15.86,27.3,7.59,10.34,6.82,176,175,20.19,18.58,39.35,208,42.15,16.08,12.73,25.83,21.03,24.21,137.5,21.31,21.1,13.25,24.44,11.6,10.3,10.51,9.84,16.27,15.02,24.07,28.81,19.39,15.94,56.24,16.29,13.15,23.4,22.49,fu,fo,fu,fu,fo,fu,fu,fo,fo,fo,fo,fu,fu,fu,na,na,na,na,na,na,na,na
3519,Castrate,Low,5,5/6/1997,16/11/1999,924,31.89,21.35,19.44,139.5,123,14.75,30.27,28.26,28.1,17.88,14.52,149.5,31.22,28.13,17.69,29.47,117.5,23.85,23.07,14,25.84,12.1,11.5,10.95,9.92,15.91,15.01,26.53,8.07,9.22,7.43,171.5,171,21.26,17.48,37.4,204,40.62,15.54,11.48,25.68,20.73,23.94,125,20.35,20.18,12.12,24.92,11.35,10.5,9.87,9.45,15.58,14.89,24.34,27.72,18.57,15.66,53.61,15.94,12.69,21.38,22.06,fu,fg,fu,fu,u,fu,fu,fo,fo,u,u,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
3520,Castrate,High,7,5/2/1996,15/11/1999,1292,34.22,22.74,21.23,154,134.5,16.71,34,31.61,31.26,19.34,15.76,164,35.33,31.19,19.07,31.97,127.5,24.21,23.35,15.41,25.11,11.95,11.55,11.28,10.81,16.81,16.47,26.38,6.38,9.09,6.03,185.5,183.5,21.32,18.83,41.34,217.5,45.11,16.26,12.32,27.51,21.37,24.61,141,20.86,20.66,12.81,23.75,11.3,10.25,10.61,10.02,17.01,15.99,23.85,30.45,18.68,16.18,57.74,17,13.69,23.64,24.52,fu,fo,fu,fu,fu,fu,fu,fo,fu,fo,fo,fu,fu,fu,na,na,na,na,na,na,na,na
3521,Female,High,7,5/2/1996,24/11/1999,1301,31.26,19.51,19.78,127,112.5,15.13,30.16,26.87,26.08,18.27,13.49,133.5,30.62,27.1,17.62,30.51,114.5,22.95,21.53,14.22,24.75,11.5,11,10.63,9.82,15.97,15.2,24.47,4.9,8.86,4.59,156,151,18.99,16.95,37.83,184.5,40.27,15.22,11.61,26.47,20.1,23.61,123.5,19.85,19.35,12.46,23.63,10.9,10.15,9.8,9.23,15.87,14.94,23.33,26.08,17.76,14.6,53.37,15.77,13.31,22.28,21.62,fu,fu,fu,fu,fu,fu,fu,fu,fu,fo,fo,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
3522,Castrate,Low,1,14/05/99,17/11/1999,187,29.39,17.18,15.15,112,102.5,11.03,27.76,25.87,24.53,17.38,13.83,117,26.6,24.39,12.73,27.22,103.5,21.58,21.51,11.09,22.92,10.8,10.25,10.77,9.82,15.13,14.64,24.92,7.01,7.93,6.48,136,138,19.15,12.82,33.75,164,36.64,11.54,9.77,25.09,19.21,21.22,111,19.71,19.71,9.54,22.34,10.7,9.7,9.78,8.8,15.31,14.4,23.47,27.38,17.6,15.23,48.53,14.29,12.66,20.61,21.65,fo,u,fo,fu,u,u,fo,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u
3523,Female,Low,3,5/22/1998,24/11/1999,551,30.35,18.09,17.3,121.5,108.5,12.57,28.23,26.32,25.92,16.98,13.52,131,28.24,25.79,14.19,26.55,112,20.72,20.5,12.38,22.7,10.55,10.3,10.29,9.75,14.83,14.25,23.95,5.1,6.84,4.7,148,148.5,18.88,14.12,34.66,181,36.58,12.97,10.46,24.82,18.75,21.11,121,19.41,19.4,10.51,22.25,10.4,9.75,9.56,8.82,15.06,14.45,22.78,26.01,17.65,14.76,51.13,14.84,11.28,20.1,20.82,fu,u,fu,fu,u,u,fu,u,u,u,u,fu,fg,u,fu,fu,fu,fu,fu,fu,fu,fu
3524,Castrate,High,5,5/13/1997,17/11/1999,918,34.6,21.88,20.78,143.5,127.5,15.37,31.62,29.22,28.91,18.5,14.79,156.5,30.66,28.8,17.89,30.4,118,23.98,22.42,13.52,25.64,11.7,11.45,10.7,9.68,15.39,14.83,26.23,7.01,8.5,6.16,177.5,177,20.18,17.02,37.64,212,41.03,15.29,11.57,25.69,21.13,23.76,122.5,20.51,20.31,11.64,24.27,11.1,10,9.96,8.61,15.27,14.12,23.79,28.73,18.66,15.86,54.29,16.36,12.92,22.27,23.15,fu,fg,fu,fu,u,fu,fu,fg,fo,u,u,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
3525,Female,High,3,5/2/1998,22/11/1999,569,30.91,20.43,19.75,134,120,15.07,30.15,28.04,27.33,17.87,14.38,141,29.47,27.29,17.72,29.28,112.5,22.16,21.42,13.85,24.91,11.65,11.15,10.49,9.34,14.95,14.34,26.47,5.79,8.91,4.98,164,162,19.77,16.92,36.55,194.5,39.67,15.12,11.85,26.12,21.01,23.27,119.5,19.94,19.78,11.79,23.81,11.2,10,9.29,8.68,14.75,14.13,24.32,28.39,17.86,15.3,51.83,15.51,12.61,21.91,22.39,fu,fg,fu,fu,u,fo,fu,fo,fo,u,u,fu,fo,fu,fu,fu,fu,fu,fu,fu,fu,fu
3526,Female,Low,5,4/30/1997,24/11/1999,938,32.29,20.21,18.37,136.5,120.5,14.83,30.03,27.87,27.27,18.47,13.94,144.5,29.93,27.42,16.9,28.69,122,22.67,21.95,13.92,25.47,11.85,11.2,11.77,10.98,16.59,15.94,24.63,5.62,8.5,6.37,167,166,19.65,16.87,38.82,194,40.81,15.03,11.72,25.2,19.8,23.08,132,19.9,19.77,12.07,24.8,11.4,10.4,10.92,9.9,16.32,15.36,23.79,28.24,18.23,15.59,55.48,16.26,13.04,22.48,23.16,fu,fo,fu,fu,fu,fu,fu,fu,fu,fo,fo,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
3527,Male,High,1,12/05/99,22/11/1999,194,30.75,19.07,15.24,115.5,105,11.78,28.81,26.67,25.45,17.55,14.45,119,27.31,25.51,13.68,28.34,105,22.23,21.97,11.48,22.68,10.9,10.3,10.56,10.08,15.4,14.51,24.36,6.87,8.11,6.97,137,137.5,19.2,13.15,35.49,165,37.23,11.75,9.94,25.46,20.17,22.35,114.5,20.13,20.12,9.82,21.77,10.5,9.45,9.94,9.05,15.5,14.21,23.62,26.86,18.19,15.01,50.16,14.59,12.2,20.61,21.26,fo,u,fo,fu,u,u,fu,u,u,u,u,u,u,u,u,u,u,u,fo,fo,fo,fo
3528,Castrate,Low,1,10/05/99,17/11/1999,191,29.74,17.75,15.53,116,105,11.2,27.8,26.14,25.07,17.45,14.36,121.5,27.36,26.08,13.25,27.84,109,21.63,21.37,11.8,22.51,10.6,10.25,10.51,10.26,15.43,14.89,24.57,7.08,7.99,7.09,141,143,19.11,13.21,35.81,161.5,37.38,12.37,9,25.38,19.25,21.71,116,18.93,18.76,10.02,21.97,10.4,9.3,9.83,9.02,15.28,14.24,23.21,27.42,17.31,15.27,50.28,14.98,11.96,21.74,21.86,fo,u,fo,fu,u,u,fo,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u
3529,Male,High,3,5/8/1998,22/11/1999,563,30.86,21.48,18.93,135,122.5,14.63,30.65,28.55,27.79,17.86,14.63,150,30.79,28.86,17.36,30.43,119.5,22.88,22.37,12.87,24.81,11.75,11,10.54,9.41,16.13,15.08,25.91,7.32,9.34,6.7,168,166,20.31,15.96,36.57,202,40.74,14.6,12.06,26.77,21.47,22.67,127.5,20.89,20.39,11.33,23.98,11.15,10.35,9.49,8.68,16.11,15.05,24.82,27.67,18.37,15.14,53.33,15.48,12.81,21.75,21.99,fu,u,fu,fu,u,fo,fu,fo,fg,u,u,fo,fo,fo,fu,fo,fu,fo,fu,fu,fu,fu
3530,Male,High,3,4/27/1998,22/11/1999,574,35.4,21.13,20.47,144.5,130,15.31,31.02,29.19,29.06,19.19,14.64,153,32.57,29.78,18.06,30.61,120,24.26,22.95,14.55,26.43,12.3,11.6,11.1,10.39,16.13,15.62,27,10.12,10.85,7.99,175,173,21.67,17.56,39.4,210,41.91,15.82,12.26,26.78,22.11,24.57,126,21.31,20.94,12.59,24.67,11.45,10.2,10.23,9.62,16.12,15.23,25.19,27.36,19.2,15.5,56.09,17.02,12.57,22.15,21.94,fu,fg,fu,fu,u,fu,fu,u,u,u,u,fu,fo,fo,fu,fu,fu,fo,fu,fu,fu,fu
3531,Male,Low,3,5/8/1998,22/11/1999,563,32.56,19.9,17.91,130,118,13.86,31.48,29.22,28.69,18.78,14.77,140,31.78,29.4,17.21,29.46,117,23.37,22.51,13.93,24.75,11.5,11.15,11.65,11.09,16.3,15.62,26.05,7.84,9.64,7.46,158,160,20.28,16.02,38.33,192,40.84,14.82,10.95,25.63,20.52,22.3,129,20.41,20.1,11.67,24.13,11.6,10.2,11.1,10.17,16.11,15,23.8,28.68,17.97,15.69,55.87,15.95,12.95,22.34,22.4,fu,u,fu,fu,u,u,fu,u,u,u,u,fo,u,u,fo,fo,fu,fu,fu,fu,fu,fu
3532,Female,Low,7,5/8/1996,22/11/1999,1293,32,19.24,20.83,131.5,117,14.57,29.48,28.25,27.75,18.01,13.96,136.5,30.79,27.88,17.2,29.76,111,23.28,22.45,13.58,25.11,11.7,10.85,10.85,9.94,15.76,15.27,25.84,5.27,8.37,3.81,159.5,156,20.77,16.35,38.84,186,41.26,15.38,11.23,26.95,20.16,22.56,119.5,20.06,19.64,11.51,24.03,11.3,10.15,9.92,9.28,15.58,14.79,23.73,26.3,17.33,14.79,53.16,15.52,12.95,21.63,21.38,fu,fo,fu,fu,fu,fu,fu,fu,fu,fo,fo,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
3533,Male,High,5,5/3/1997,16/11/1999,927,36.2,22.21,23.01,148.5,131,16.43,32.07,30.04,29.9,19.57,15.59,154,33.95,31.57,19.64,32.87,122,25.35,23.59,15.33,26.4,12.55,11.75,11.88,11.06,16.81,16.09,27.28,8.96,10.25,9.95,177,174,21.41,18.04,41.48,205.5,44.15,16.34,12.88,28.07,22.8,23.63,133.5,21.55,20.71,13.03,25.08,11.85,10.6,10.87,10.19,16.6,15.43,25.73,29.58,19.08,16.11,59.16,16.89,13.81,24.08,24.17,fu,fo,fu,fu,fo,fu,fu,fu,fu,fo,fo,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
3534,Male,High,5,5/3/1997,16/11/1999,927,35.39,21.86,22.08,145,128,16.51,32.76,30.96,30.24,19.48,14.89,151.5,32.76,29.7,19.71,31.64,117.5,23.69,22.81,14.91,26.18,12.15,11.7,11.3,10.62,16.07,15.54,26.41,9.5,10.62,8.13,172,168.5,21.17,18.24,39.69,204,42.55,17.27,13.28,27.47,22.22,23.94,128,21.21,20.84,13.09,25.51,12,11.2,10.27,9.94,16.42,15.65,24.55,27.89,18.59,15.39,55.89,16.89,13.93,22.91,22.93,fu,fo,fu,fu,fu,fu,fu,fo,fu,fo,fo,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
3535,Female,Low,5,5/7/1997,22/11/1999,929,30.06,19.75,18.03,134,121,13.3,28.5,26.83,26.24,16.84,13.85,144.5,29.51,26.86,15.97,27.89,115,21.78,21.09,12.96,23.9,11.05,10.55,10.35,10,15.49,15.06,23.19,4.06,7.56,4.1,168.5,166,19.63,15.22,35.52,197,38.82,14.03,10.68,24.67,18.15,21.8,125.5,19.39,19.19,10.95,22.74,10.35,9.85,9.56,9.4,15.69,14.83,21.97,26.37,17.51,14.81,53.64,15.09,11.77,20.49,21.42,fu,fo,fu,fu,fu,fu,fu,fu,fu,fo,fo,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
3536,Female,Low,7,5/10/1996,24/11/1999,1293,31.24,19.57,19.34,133,119,14.34,29.35,27.31,26.91,17.46,13.85,141,29.51,26.96,16.81,27.29,112,22.33,21.62,13.53,23.57,11.1,10.8,10.3,9.83,15.52,14.94,23.32,5.18,7.96,4.7,164,161,20.13,16.51,37.41,194.5,40.19,15.06,12.1,24.83,19.87,22.18,119,19.61,19.59,11.8,22.44,10.75,9.8,9.47,8.78,15.47,14.65,22.1,28.16,17.53,14.85,53.46,15.17,12.89,21.91,21.6,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
3537,Female,Low,5,5/5/1997,24/11/1999,933,31.41,19.8,18.3,130,114.5,13.86,30.02,27.78,27.69,18.37,14.39,136.5,30.5,27.66,16.8,28.14,109,22.52,21.39,12.53,23.41,10.95,10.65,10.2,9.39,15.23,14.59,23.63,4.89,9.3,4.12,160.5,157.5,19.63,15.03,35.81,181,38.31,13.61,10.48,24.57,19.17,22.06,118,19.15,18.84,10.47,22.44,10.55,9.35,9.42,8.55,14.94,14.03,21.84,26.77,17.55,14.73,53.76,14.57,11.29,20.71,21.78,fu,fu,fu,fu,fu,fu,fu,fu,fu,fo,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
